tier,name,gemReward,pointsReward,ruby,sapphire,diamond,emerald,onyx
2,Card01,Black,1,0,2,2,0,3
2,Card02,Blue,2,0,0,5,0,0
2,Card03,Green,3,0,6,0,0,0
2,Card04,Black,2,3,5,0,0,0
2,Card05,White,3,0,0,0,0,6
2,Card06,Green,2,0,3,5,0,0
2,Card07,Blue,1,0,3,2,3,0
2,Card08,White,1,3,0,3,0,2
2,Card09,Red,2,0,0,0,5,3
2,Card10,White,2,4,1,0,2,0
2,Card11,Black,1,0,3,0,2,3
2,Card12,Black,3,0,0,0,6,0
2,Card13,Black,2,0,0,0,0,5
2,Card14,Blue,2,1,0,0,4,2
2,Card15,Red,3,6,0,0,0,0
2,Card16,Green,1,3,2,0,0,3
2,Card17,Green,2,0,5,0,0,0
2,Card18,Red,2,0,2,4,0,1
2,Card19,Blue,3,0,0,6,0,0
2,Card20,Green,2,0,0,2,1,4
2,Card21,Red,2,0,0,0,5,0
2,Card22,Black,2,2,4,1,0,0
2,Card23,Red,1,2,0,3,3,0
2,Card24,Blue,1,3,2,2,0,0
2,Card25,Blue,2,0,0,3,0,5
2,Card26,Green,1,0,0,3,2,2
2,Card27,White,2,5,0,0,3,0
2,Card28,Red,1,2,0,0,3,2
2,Card29,White,1,2,3,0,2,0
2,Card30,White,2,5,0,0,0,0
